Name,region,Total_Medals
"Michael Fred Phelps, II",USA,28
Larysa Semenivna Latynina (Diriy-),Russia,18
Nikolay Yefimovich Andrianov,Russia,15
Borys Anfiyanovych Shakhlin,Russia,13
Takashi Ono,Japan,13
Ole Einar Bjrndalen,Norway,13
Natalie Anne Coughlin (-Hall),USA,12
Ryan Steven Lochte,USA,12
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",USA,12
"Dara Grace Torres (-Hoffman, -Minas)",USA,12
Paavo Johannes Nurmi,Finland,12
Sawao Kato,Japan,12
Aleksey Yuryevich Nemov,Russia,12
Birgit Fischer-Schmidt,Germany,12
Aleksandr Vladimirovich Popov,Russia,11
Vra slavsk (-Odloilov),Czech Republic,11
"Matthew Nicholas ""Matt"" Biondi",USA,11
Mark Andrew Spitz,USA,11
Aleksandr Nikolayevich Dityatin,Russia,10
Franziska van Almsick,Germany,10
